Institution,Title,Level,Availability
Sunderland College,Essential Digital Skills Entry 3,EL,Available
New College Durham,Computer and Online basics,EL,Available
New College Durham,Essential Digital Skills for Life - Entry level 3,EL,In Preparation
New College Durham,Essential Digital Skills for Work - Entry level 3,EL,In Preparation
Sunderland College,Essential Digital Skills Entry 3,EL,Available
Sunderland College,Essential Digital Skills Level 1,L1,Available
Sunderland College,ECDL Level 1,L1,Available
New College Durham,Essential Digital Skills for Life - Level 1,L1,In Preparation
New College Durham,Essential Digital Skills for Work - Level 1,L1,In Preparation
Gateshead College,Bootcamp,L1,Future
Gateshead College,Bootcamp,L1,Future
Sunderland College,Essential Digital Skills Level 1,L1,Available
Sunderland College,ECDL Level 1,L1,Available
Gateshead College,Bootcamp,L1,Future
Sunderland College,ECDL Level 2,L2,Available
Sunderland College,ETF Training (Education Only),L2,Available
Sunderland College,ECDL Level 2,L2,Available
Sunderland College,ETF Safeguarding Training (Education Only),L2,Available
Sunderland College,Microsoft Teams Certification,L3,Future
New College Durham,MOS,L3,
Sunderland College,Cloud Services,L3,Future
Sunderland College,AWS Qualifications,L3,Future
Sunderland College,MTA Cloud Services,L3,Available
Sunderland College,MTA Network Fundamentaks,L3,Available
Sunderland College,MTA Cloud Fundamentals,L3,Available
Sunderland College,MTA Server Fundamentals,L3,Available
Sunderland College,Mobile and Operating Systems,L3,Future
Sunderland College,Access to HE Computing,L3,In Preparation
Sunderland College,Level 3 Computer Science (NQF),L3,Available
Sunderland College,Level 3 IT (QCF) & (RQF),L3,Available
Gateshead College,Infrastructure technician,L3,Available
Gateshead College,Digital Support Technician,L3,Available
Sunderland College,Business Processes,L3,Future
Sunderland College,MOS Project,L3,Available
Sunderland College,Extended Project,L3,Available
Sunderland College,Access to HE Computing,L3,In Preparation
New College Durham,ECDL qualifications at levels 1-3,L1-3,Available
New College Durham,ITQ units,L1-3,Available
Newcastle University,Online Safeguarding,L1-3,Future
Sunderland College,HND and HND Computing,L4,Available
Sunderland College,Network Principles,L4,Future
Sunderland College,Network Security,L4,Future
Sunderland College,Networking and Architecture,L4,Future
New College Durham,Introduction to Networks,L4,Available
New College Durham,Cyber Security Fundamentals,L4,Available
New College Durham,"Switching, Routing and Wireless Essentials",L4,Available
New College Durham,Fundamentals of Security Programming,L4,Available
Gateshead College,Network Engineer,L4,Available
Gateshead College,L4 DevOps Engineer,L4,Available
New College Durham,"Enterprise Networking, Security & Automation",L5,Available
New College Durham,Concepts & Future Trends,L5,Available
New College Durham,Cyber Security Operations,L5,Available
New College Durham,Security Tech & App Cryptography,L5,Available
New College Durham,Ethical Hacking,L6,Available
New College Durham,Computer Forensics,L6,Available
New College Durham,Cyber Security Landscapes,L6,Available
Newcastle University,MSc in cyber security,L7,Available
Newcastle University,Degree apprenticeship in cyber security,L7,Available
Newcastle University,Technology Management,L7,Available
Sunderland University,Advanced Digital Forensics and Cyber Security and various Cyber Modules ,L4-6,Available
Sunderland University,Advanced Digital Forensics and Cyber Security and various Cyber Modules ,L4-6,Available
Sunderland University,Advanced Digital Forensics and Cyber Security and various Cyber Modules ,L4-6,Available
Newcastle University,CPD version of UG/PGT courses currently taught,L4-7,Future
Sunderland University,Short awareness course,L4-7,In Preparation
Sunderland University,Short awareness course,L4-7,In Preparation
Newcastle University,Modules from cyber security UG and PGT provision,L4-7,Available
Sunderland College,Microsoft Teams Micro Courses,TBC,Future
Sunderland College,How to Work effectively from home bootcamps,TBC,Future
Northumbria University,Staying Safe Online,TBC,In Preparation
Sunderland University,Short awareness course,TBC,In Preparation
Sunderland College,GDPR Training,TBC,Future
Newcastle University,GDPR and related data security,TBC,In Preparation
Sunderland College,Online Safety Bootcamps,TBC,Future
Sunderland College,Cyber Bootcamp Days,TBC,Future
Sunderland College,HNC and HND Computing,TBC,In Preparation
